Name	Address	Zipcode	URL_1	URL_2	URL_3
PALMER SECOND BAPTIST CHURCH 	1050 THORNDIKE ST PALMER MA	01069-1507	https://www.facebook.com/pages/Second-Baptist-Church/111521855554086	https://local.yahoo.com/info-10012614-second-baptist-church-palmer	http://www.faithstreet.com/church/second-baptist-church-palmer-ma
ST GEORGE CATHEDRAL 	523 E BROADWAY SOUTH BOSTON MA	02127-4415	http://www.saintgeorgecathedral.com/churchstore.html	http://www.saintgeorgecathedral.com/	https://en.wikipedia.org/wiki/Cathedral_of_St._George_Historic_District
IGLESIA BETHESDA INC 	157 ANDOVER ST LOWELL MA	01852-2348	https://causes.benevity.org/causes/840-000587764	http://www.christianvolunteering.org/orgs/iglesia-bethesda-inc.jsp	http://nccsweb.urban.org/orgs/profile.php/000587764?popup=1
MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC 	454 ESSEX ST LAWRENCE MA	01840-1242	http://www2.guidestar.org/ViewPdf.aspx?PdfSource=0&ein=00-0635913	http://www.christianvolunteering.org/orgs/ministerio-apostolico-jesucristo-es-el-senor-inc.jsp	https://www.fundraise.com/non-profit/lawrence-ma-ministerio-apostolico-jesucristo-es-el-senor-inc
NEW HOPE CONGREGATIONAL CHURCH 	757 SHAWMUT AVE APT 709 BOSTON MA	02119-2048	http://www.charitynavigator.org/index.cfm?bay=search.profile&ein=000765634&print=1	https://www.charitybox.com/charities/new-hope-congregational-church	https://www.pointworthy.com/view/shownpo.xhtml?product=6093183829730240
AGAPE HOUSE OF PRAYER 	39 GOODALE RD STE 2 MATTAPAN MA	02126-1527	https://www.donationplanet.org/charities/agape-house-of-prayer/	http://www.christianvolunteering.org/orgs/agape-house-prayer.jsp	http://greatnonprofits.org/org/agape-house-of-prayer_100697610
BETHANY PRESBYTERIAN CHURCH 	32 HARVARD ST BROOKLINE MA	02445-7994	http://bethanybrookline.org/	http://bethanybrookline.org/who-we-are/	http://www.yelp.com/biz/bethany-presbyterian-church-brookline
UNITY IN THE CITY 	955 MASSACHUSETTS AVE STE 117 CAMBRIDGE MA	02139-3180	https://www.unityworldwideministries.org/ministry/unity-city-cambridge-ma	http://www.brickmanre.com/955_massachusetts_ave.htm	http://www.yelp.com/biz/the-ups-store-cambridge
MIDDLESEX BARBARIANS R F C INC 	37 BOW ST WOBURN MA	01801-3636	http://www.orgcouncil.com/ma/woburn/middlesex-barbarians-r-f-c-inc-180.php	http://501c3lookup.org/middlesex_barbarians_r_f_c_inc/	https://opencorporates.com/companies/us_ma/001037180
MOLINA INSTITUTE FOR PHOTON PHYSICS RESEARCH INC 	20 WARE ST APT 24 CAMBRIDGE MA	02138-4016	http://501c3lookup.org/molina_institute_for_photon_physics_research_inc/	http://greatnonprofits.org/org/molina-institute-for-photon-physics-research-inc	http://www.nonprofitfacts.com/MA/Molina-Institute-For-Photon-Physics-Research-Inc.html
ST ROSALIAS ROMAN CATHOLIC CHURCH 	1230 65TH ST BROOKLYN NY	11219-5614	http://reginaparish.com/	http://www.thecatholicdirectory.com/directory.cfm?fuseaction=display_site_info&siteid=52974	http://www.parishesonline.com/find/st-rosalia-church-11219
CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA 	569 BROADWAY NEWARK NJ	07104-4132	https://www.facebook.com/macedoniachurchofchristnj/info	https://www.facebook.com/macedoniachurchofchristnj	http://www.placestogoinnewark.com/places/2304096-Macedonia-Church-of-Christ/
GENERAL COUNCIL OF ASSEMBLIES OF GOD FULL GOSPEL TABERNACLE 	3210 SOUTHWESTERN BLVD ORCHARD PARK NY	14127-1229	https://www.fundraise.com/non-profit/general-council-of-assemblies-of-god-full-gospel-tabernacle	http://www.nonprofitlookup.com/profile/328297.html	http://nonprofitlocator.org/organizations/ny/orchard-park/002045409-general-council-of-assemblies-of-god-full-gospel-tabernacle
TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC 	PO BOX 102 DEERFIELD ST NJ	08313-0102	https://www.razoo.com/story/Tri-County-Lighthouse-Baptist-Church-And-Ministries	http://nccsweb.urban.org/orgs/profile.php/007764840?popup=1	http://nonprofitlocator.org/organizations/nj/deerfield-st/007764840-tri-county-lighthouse-baptist-church-and-ministries-incorporated
HULLS COVE NEIGHBORHOOD ASSOCIATION 	PO BOX 126 HULLS COVE ME	04644-0126	http://www.guidestar.org/ViewPdf.aspx?PdfSource=0&ein=01-0002847	http://greatnonprofits.org/org/hulls-cove-neighborhood-association	http://nonprofitlocator.org/organizations/me/hulls-cove/010002847-hulls-cove-neighborhood-association
MASSACHUSETTS MODERATORS ASSOCIATION 	5 SPY ROCK HILL RD MANCHESTER MA	01944-1514	http://www.guidestar.org/ViewPdf.aspx?PdfSource=0&ein=01-0011694	http://www.orgcouncil.com/ma/manchester/massachusetts-moderators-association-694.php	http://www.bostonmagazine.com/2007/04/if-you-lived-here-youd-never-want-to-leave/
HANOVER SOCCER CLUB INC 	PO BOX 13 CEDAR KNOLLS NJ	07927-0013	http://hanoversoccer.org/	http://leagueathletics.com/?org=hanoversoccer.org	https://www.citizenaudit.org/010015091/
AGAMENTICUS YACHT CLUB OF YORK 	PO BOX 534 YORK HARBOR ME	03911-0534	http://www.aycsail.org/contact--links.html	http://marinas.com/view/marina/357_Agamenticus_Yacht_Club_York_Harbor_ME_United_States	http://www.sailingnetworks.com/organisation/map/5074
ALPHA TAU OMEGA FRATERNITY 	81 COLLEGE AVE ORONO ME	04473-4210	http://umaine.edu/greek/house-and-chapter-locations/	https://www.memberplanet.com/atoumaine	https://www.facebook.com/events/900490383368579/?ref=3&ref_newsfeed_story_type=regular&feed_story_type=117&action_history=null
AMALGAMATED TRANSIT UNION 	PO BOX 979 PORTLAND ME	04104-0979	https://www.citizenaudit.org/010018605/	http://www.charityblossom.org/nonprofit/amalgamated-transit-union-portland-me-04104-brendon-burke-010018605/	http://www.charityblossom.org/directory/ME/Portland/04104/
AMERICAN LEGION AUXILIARY 	886B KENNEDY MEMORIAL DR OAKLAND ME	04963-4825	http://www.maineala.org/programs	http://www.maineala.org/	http://www.mapquest.com/places/american-legion-auxiliary-oakland-me-353102032
AMERICAN LEGION POST 0019 THOMAS W COLE POST 	PO BOX 801 SANFORD ME	04073-0801	http://nonprofits.findthecompany.com/l/51013/American-Legion-Post-0019-Thomas-W-Cole-Post	https://www.citizenaudit.org/010018923/	http://www.guidestar.org/ViewPdf.aspx?PdfSource=0&ein=01-0018923
AMERICAN LEGION POST 0005 BOURQUE LANIGAN 	21 COLLEGE AVE WATERVILLE ME	04901-6141	http://www.guidestar.org/ViewPdf.aspx?PdfSource=0&ein=01-0018927	http://nonprofits.findthecompany.com/l/35117/American-Legion-Post-0005-Bourque-Lanigan	https://www.citizenaudit.org/010018927/
AMERICAN LEGION 	5 VERTI DR WINSLOW ME	04901-0727	http://www.mainelegion.org/	http://www.mainelegion.org/pages/membership/maine-posts.php	http://www.mainelegion.org/pages/officers.php
ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE 	PO BOX 430 HOLDEN ME	04429-0430	http://www.mainemason.org/	http://www.mainemason.org/contactus.asp	http://www.faqs.org/tax-exempt/ME/Ancient-Free-Accepted-Masons-Of-Maine-Grand-Lodge.html
ANCIENT FREE & ACCEPTED MASONS OF MAINE 	20 GABRADAK LN CHELSEA ME	04330-1377	https://www.donationplanet.org/charities/ancient-free-accepted-masons-of-maine/	https://www.charitybox.com/charities/ancient-free-accepted-masons-of-maine	http://nonprofitlocator.org/organizations/me/chelsea/010019708-ancient-free-and-accepted-masons-of-maine
MAINE STATE CHAMBER OF COMMERCE 	125 COMMUNITY DR STE 101 AUGUSTA ME	04330-8157	http://www.mainechamber.org/aboutus.php	http://www.mainechamber.org/blueoptions.php	http://www.mainechamber.org/directions.php
AUGUSTA COUNTRY CLUB 	19 HAMMONS GROVE MANCHESTER ME	04351-0000	http://www.augustacountryclub.org/	http://www.tripadvisor.com/Attraction_Review-g40730-d5114254-Reviews-Augusta_Country_Club-Manchester_Maine.html	https://www.facebook.com/pages/Augusta-Country-Club/118313352751
KENNEBEC VALLEY CHAMBER OF COMMERCE 	PO BOX 676 AUGUSTA ME	04332-0676	https://augustamaine.com/	http://local.townsquarepublications.com/maine/kennebecvalley/	http://business.neacce.com/list/member/kennebec-valley-chamber-of-commerce-augusta-9559
BANGOR BAND 	647 MAIN ST BANGOR ME	04401-6871	http://www.bangorband.org/contact/	http://www.bangorband.org/auditions/	http://www.bangorband.org/support/
BANGOR REGION CHAMBER OF COMMERCE 	20 SOUTH ST BANGOR ME	04401-6444	http://www.bangorregion.com/	http://www.bangorregion.com/index.php?id=450	http://www.bangorregion.com/feed.php?num=4&news_id=371&feed_id=2
BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA 	108 ODLIN RD BANGOR ME	04401-6704	http://elksclubbangor.org/	http://www.elksclubbangor.org/contact-us	http://www.elks.org/lodges/home.cfm?lodge=244
BANGOR SYMPHONY ORCHESTRA 	PO BOX 1441 BANGOR ME	04402-1441	http://www.bangorsymphony.org/page/871/contact	https://www.bangorsymphony.org/	http://www.bangorsymphony.org/page/865/box-office
BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION 	PO BOX 52 BAR HARBOR ME	04609-0052	http://www.acadiacentennial2016.org/sponsors/bar-harbor-village-improvement-association/	http://www.faqs.org/tax-exempt/ME/Bar-Harbor-Village-Improvement-Association.html	https://www.donationplanet.org/charities/bar-harbor-village-improvement-association/
ANCIENT FREE & ACCEPTED MASONS OF MAINE 	1 TUFTS RD BELFAST ME	04915-7513	https://www.citizenaudit.org/010027415/	https://www.charitybox.com/charities/ancient-free-accepted-masons-of-maine-da73cae8-2728-414b-80c9-dfc1ae880954	https://www.donationplanet.org/charities/ancient-free-accepted-masons-of-maine-2/
