"C_EIN"|"C_Org_Name"|"ACTIVITY_ID"|"XML_DOCUMENT_ID"|"REGION"|"NUM_OFFICES"|"NUM_EMP"|"ACTIVITIES"|"ACTIVITY_TYPE"|"TOT_EXPENDITURES"
"01-0783423"|"VISION COMMUNICATIONS INTERNATIONAL"|"73"|"1139813"|"MIDDLE EAST AND NORTH AFRICA"|"1"|"22"|"PROGRAM SERVICES"|"PRODUCTION OF CHRISTIAN TELEVISION PROGRAMS, CHRISTIAN INTERNET CONTENT AND MOBILE APPS."|"528000.0000"
"01-0748205"|"THE FRIENDS OF THALAMUS"|"878"|"1155526"|"Central America"|"1"|"1"|"GRANTS"|"BRAZIL'S SOCIAL DEVELOPMENT"|"105000.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1508"|"1170911"|"Central America and the Caribbean"|""|"2"|"Program Services"|"Missionary Work"|"40123.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1509"|"1170911"|"East Asia and the Pacific"|""|"2"|"Program Services"|"Missionary Work"|"8751.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1510"|"1170911"|"Europe"|""|"7"|"Program Services"|"Missionary Work"|"96183.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1511"|"1170911"|"Middle East and North Africa"|""|"3"|"Program Services"|"Missionary Work"|"430.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1512"|"1170911"|"South Asia"|""|"1"|"Program Services"|"Missionary Work"|"7361.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1513"|"1170911"|"Sub-Saharan Africa"|""|"1"|"Program Services"|"Missionary Work"|"34.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1514"|"1170911"|"South Asia"|""|"1"|"Program Services"|"Bible School"|"23750.0000"
"01-0365189"|"Celebration Inc"|"1853"|"1181832"|"Indonesia"|"0"|"1"|"Finding to spread gospel"|"Cash Contibutions"|"5000.0000"
"01-0365189"|"Celebration Inc"|"1854"|"1181832"|"Hungary"|"0"|"1"|"Finding to spread gospel"|"Cash Contibutions"|"15000.0000"
"01-0365189"|"Celebration Inc"|"1855"|"1181832"|"Albania"|"0"|"2"|"Finding to spread gospel"|"Cash Contibutions"|"500.0000"
"01-0365189"|"Celebration Inc"|"1856"|"1181832"|"Canada"|"1"|"0"|"Finding to spread gospel"|"Cash Contibutions"|"31100.0000"
"01-0365189"|"Celebration Inc"|"1857"|"1181832"|"Brazii"|"1"|"0"|"Dontions to assist in spreading the gospel"|"Cash Contibutions"|"32146.0000"
"01-0365189"|"Celebration Inc"|"1858"|"1181832"|"U nited Kingdom"|"1"|"0"|"Finding to spread gospel"|"Cash Contibutions"|"50340.0000"
"01-0365189"|"Celebration Inc"|"1859"|"1181832"|"New Zealand"|"1"|"0"|"Finding to spread gospel"|"Cash Contibutions"|"38610.0000"
"01-0365189"|"Celebration Inc"|"1860"|"1181832"|"Romania"|"2"|"0"|"Finding to operate 2 orphanages in the region"|"Cash Contibutions"|"80640.0000"
"01-0549023"|"PHARMACEUTICAL SECURITY INSTITUTE INC"|"1861"|"1181839"|"EAST ASIA AND THE PACIFIC"|"1"|"1"|"PROGRAM SERVICES"|"INFORMATION AND TRAINING ACTIVITIES"|"83609.0000"
"01-0549023"|"PHARMACEUTICAL SECURITY INSTITUTE INC"|"1862"|"1181839"|"EUROPE"|"1"|"1"|"PROGRAM SERVICES"|"INFORMATION AND TRAINING ACTIVITIES"|"213971.0000"
"01-0216837"|"The Maine Sea Coast Mission"|"2593"|"1194170"|"Central America and the Caribbean"|"0"|"0"|"Investments"|""|"10924034.0000"
"01-0518900"|"THE POPTECH INSTITUTE"|"2945"|"1204073"|"EUROPE"|"0"|"0"|"PROGRAM SERVICES"|"HELD CONFERENCE"|"372578.0000"
"01-0518900"|"THE POPTECH INSTITUTE"|"2946"|"1204073"|"SUB-SAHARAN AFRICA"|"0"|"0"|"PROGRAM SERVICES"|"PEACETXT,CLI- MATELAB"|"90964.0000"
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"2947"|"1204090"|"INDIA"|"0"|"0"|"PROGRAM SERVICES"|"LEADERSHIP TRAINING"|"479.0000"
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"2948"|"1204090"|"W AFRICA"|"0"|"0"|"PROGRAM SERVICES"|"LEADERSHIP TRAINING"|"32476.0000"
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"2949"|"1204090"|"SUB-SAHARAN AFRICA"|"0"|"2"|"PROGRAM SERVICES"|"LEADERSHIP TRAINING"|"47331.0000"
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"2950"|"1204090"|"LATIN AMERICA"|"0"|"2"|"PROGRAM SERVICES"|"LEADERSHIP TRAINING"|"65028.0000"
"01-0909843"|"Friends of Kenya Wildlife Trust"|"2951"|"1204113"|"(1) Sub- Saharan Africa/Kenya"|""|""|"Grants to KWT"|""|"205550.0000"
"01-0788905"|"MASTER BREWERS ASSOCIATION OF THE AMERICAS INC"|"3370"|"1216575"|"SOUTH AMERICA"|"0"|"0"|"PROGRAM SERVICES"|"EDUCATIONAL PROGRAM ON BEER BREWING AND PACKAGING"|"41136.0000"
"01-0671151"|"American Friends of Lucerne Festivatl"|"3489"|"1219899"|"(1) Europe"|""|""|"Grantmaking"|""|"200000.0000"
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"3490"|"1219901"|"Central America and the Caribbean"|"1"|"1"|"Program Services"|"Education health Training"|""
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"3981"|"1226885"|"SOUTH ASIA"|""|""|"PROGRAM SERVICES"|"BUILDINGSCARETRAIN"|"63508.0000"
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"3982"|"1226885"|"CENTRAL AMERICA ANDTHE CARIBBEAN"|""|""|"PROGRAM SERVICES"|"EDUCMEDICALTRAIN"|"9375.0000"
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"3983"|"1226885"|"MIDDLE EAST AND NORTH AFRICA"|""|""|"PROGRAM SERVICES"|"TRAININGRELIEFEVAN"|"125058.0000"
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"3984"|"1226885"|"EUROPE INCLUDING ICELAND AND GREENLAND"|""|""|"PROGRAM SERVICES"|"CHURCH WORK"|"11894.0000"
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"4369"|"1227773"|"(1) EAST ASIA AND THE PACIFIC"|"0"|"0"|"Program services"|"All program services of"|"0.0000"
"01-0504905"|"GULF OF MAINE RESEARCH INSTITUTE"|"4773"|"1244173"|"EASTASIA ANDTHE PACIFIC -"|"0"|"0"|"PROGRAM SERVICE"|"COMMISSION FOR THE CONSERVANCY OF BLUE FIN TUNA -CONSULTING PERFORMED BY JOHN ANNALA"|"17550.0000"
"01-0697940"|"WOMEN IN PROGRESS INC"|"4931"|"1246334"|"Sub-Saharan Afnca"|"0"|"3"|"Program Services"|"purchases products made by the women we serve in Ghana"|"31894.0000"
"01-0730818"|"CIUDAD DE ANGELES INC"|"4932"|"1246335"|"MEXICO"|"1"|"1"|"ORPHANAGE"|"FOOD,CLOTHING,SHELTE"|""
"01-0833397"|"Global Refuge International"|"5465"|"1252036"|"Sub-Saharan Africa"|"1"|"1"|"program services"|"Disaster relief, medical services & medical training"|"40420.0000"
"01-0833397"|"Global Refuge International"|"5466"|"1252036"|"(2) East Asia and Pacific"|"1"|"1"|"program services"|"Disaster relief, medical services & medical training"|"4756.0000"
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"5721"|"1254252"|"0) Europe"|""|""|"Program Services"|"Meeting/confe rences"|"5000.0000"
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"5722"|"1254252"|"(2) North America"|""|""|"Program Services"|"Educ./confere nces"|"60000.0000"
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"5723"|"1254252"|"(3) South America"|""|""|"Program Services"|"Meeting/confe rences"|"6000.0000"
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"5724"|"1254252"|"(4) South Asia"|""|""|"Program Services"|"Meeting/confe rences"|""
"01-0772839"|"Homes of Hope Inc"|"5762"|"1256615"|"Fiji Islands"|"0"|"2"|"Provides oversight"|"See Prog Serv Acc"|"140165.0000"
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"6149"|"1260126"|"NORTH AMERICA"|""|"1"|""|""|"81260.0000"
"01-6022787"|"Medical Care Development Inc"|"6356"|"1266023"|"Sub-saharan Africa"|"6"|"89"|"Program Services - Malaria Prevention & Treatment"|"Indoor residual spraying, insecticide & drug resistance monitoring"|"15286610.0000"
"01-6022787"|"Medical Care Development Inc"|"6357"|"1266023"|"Sub-saharan Afnca"|"1"|"6"|"Program Services - Child Survival"|"Increasing the life of long-lasting insecticide treated bed nets"|"37871.0000"
"01-6022787"|"Medical Care Development Inc"|"6358"|"1266023"|"Sub-Saharan A frica"|"1"|"8"|"Program Services - Child Survial"|"Youth Friendly Clinic P roject"|"192553.0000"
"01-6022787"|"Medical Care Development Inc"|"6359"|"1266023"|"Sub-saharan Afnca"|"3"|"51"|"Program Services - Water Supply & Sanitation"|"Improving sanitation knowledge at the community level"|"1425698.0000"
"01-0471151"|"Regulatory Assistance Project"|"6439"|"1276548"|"South Asia"|"1"|"0"|"Program"|"Advice, research, tr"|"1686550.0000"
"01-0471151"|"Regulatory Assistance Project"|"6440"|"1276548"|"Europe"|"2"|"3"|"Program"|"Advice, research and training"|"2014978.0000"
"01-0471151"|"Regulatory Assistance Project"|"6441"|"1276548"|"East Asia and the Pacific"|"1"|"2"|"Program"|"Advice, research and training"|"2567355.0000"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"6609"|"1279955"|"CANADA"|"3"|""|"GRANT GIVING"|""|"40000.0000"
"01-0601606"|"American Int'l School of Bamako Foundation"|"6996"|"1285383"|"Middle East and North Africa"|"0"|"0"|"Program Services, Educatior"|"Educational support"|"1046781.0000"
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"7073"|"1298703"|"CENTRAL AMERICA AND THE CARIBBEAN -"|""|""|"INVESTMENTS"|""|"4839000.0000"
"01-0794834"|"International Society for Autism Research"|"7388"|"1301397"|"Middle East and North Africa"|"0"|"0"|"A wards provided to individuals"|""|"2000.0000"
"01-0794834"|"International Society for Autism Research"|"7389"|"1301397"|"South America"|"0"|"0"|"A wards provided to individuals"|""|"2000.0000"
"01-0794834"|"International Society for Autism Research"|"7390"|"1301397"|"Sub-Saharan Africa"|"0"|"0"|"A wards provided to individuals"|""|"1000.0000"
"01-0794834"|"International Society for Autism Research"|"7391"|"1301397"|"East Asia and the Pacific"|"0"|"0"|"Awards provided to individuals"|""|"3000.0000"
"01-0794834"|"International Society for Autism Research"|"7392"|"1301397"|"South Asia"|"0"|"0"|"Awards provided to individuals"|""|"2000.0000"
"01-0794834"|"International Society for Autism Research"|"7393"|"1301397"|"Russia & the Newly Independent States"|"0"|"0"|"A wards provided to individuals"|""|"1000.0000"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"7461"|"1304001"|"PROVIDE ASSISTANCE FOR THECAREOFCHILDRENIN THE DOMINICAN REPUBLIC"|"0"|"0"|"PROGRAM SERVICES"|"PROVIDE ASSISTANCE FOR THE CARE, WELL-BEING AND CATHOLIC RELIGIOUS DEVELOPMENT"|"141420.0000"
"01-0679411"|"AMERICAN FRIENDS OF RETORNO"|"8400"|"1312737"|"ISRAEL"|"0"|"0"|"PROGRAM SERVICES TO RETORNO IN ISRAEL"|"ADDICTION REHABILITATION PROGRAMS"|"37679.0000"
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"8648"|"1313843"|"EAST ASIA AND THE PACIFIC"|"2"|"3"|"PROGRAM SERVICE"|"MEMBER MARKETING AND RELATIONSHIP MANAGEMENT"|"94372.0000"
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"8649"|"1313843"|"EAST ASIA AND THE PACIFIC"|"0"|"0"|"PROGRAM SERVICE REVENUE"|"MEMBERSHIP DUES RECEIVED FROM MEMBERS IN THE REGION"|""
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"8650"|"1313843"|"EUROPE"|"0"|"0"|"PROGRAM SERVICE REVENUE"|"MEMBERSHIP DUES RECEIVED FROM MEMBERS IN THE REGION"|""
"01-0740113"|"KHMER ARTS ACADEMY"|"8858"|"1317538"|"CAMBODIA"|"1"|"3"|"PRO GRAM SERVICES"|"KHMER ARTS ENSEMBLE, KHMER ARTS RESEARCH & ARCHIVING"|"200470.0000"
"01-0725409"|"AMERICAN PILGRIMS ON THE CAMINO"|"8933"|"1319291"|"SPAIN"|"0"|"0"|"INFRASTRUCTURE GRANT"|"GRANT"|"12000.0000"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"9373"|"1326302"|"CENTRAL AMERICA AND THE CARIBBEAN -"|"0"|"0"|"INVESTMENT IN INVESTMENT ENTITIES DOMICILED IN FOREIGN JURISDICTIONS"|""|"2757419.0000"
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"9808"|"1337734"|"ISRAEL"|"1"|"26"|"PROGRAM SERVICES"|""|"0.0000"
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"9809"|"1337734"|"EUROPE"|"3"|"4"|"PROGRAM SERVICES"|""|"0.0000"
"01-0741733"|"INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC"|"9810"|"1337739"|"SUB-SAHARAN AFRICA"|"1"|"33"|"PROGRAM SERVICES"|"CLINICAL RESEARCH"|"8819916.0000"
"01-0741733"|"INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC"|"9811"|"1337739"|"SUB-SAHARAN AFRICA"|"0"|"0"|"PROGRAM SERVICES"|"REGULATORY & QUALITY ASSURANCE"|"62584.0000"
"01-0741733"|"INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC"|"9812"|"1337739"|"SUB-SAHARAN AFRICA"|"0"|"0"|"PROGRAM SERVICES"|"PROGRAM SUPPORT"|"92647.0000"
"01-0741733"|"INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC"|"9813"|"1337739"|"EUROPE (INCLUDING ICELAND&GREENLAND)"|"1"|"0"|"GRANTMAKING"|""|"553782.0000"
"01-0741733"|"INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC"|"9814"|"1337739"|"SUB-SAHARAN AFRICA"|"0"|"0"|"PRO GRAM SERVICES"|"PRODUCT DEVELOPMENT"|"195259.0000"
"01-0451745"|"ST CROIX INTERNATIONAL WATERWAY COMMISSION"|"10061"|"1341927"|"North A merica"|"1"|"1"|"This commission was established by State of Maine and Province of New Brunswick laws"|""|"130000.0000"
"01-0608595"|"AMERICAN CARIBBEAN EXPERIENCE INC"|"10468"|"1349322"|"CENTRAL AMERICA & THE CARIBBEAN"|"1"|"10"|"PROGRAM SERVICES"|"EDUCATION & TRAINING"|"856661.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"10469"|"1349328"|"NORTH AMERICA - CANADA AND MEXICO"|"0"|"0"|"PROGRAM SERVICES"|"TRAINING"|"134.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"10470"|"1349328"|"EAST ASIA AND THE PACIFIC"|"0"|"0"|"PROGRAM SERVICE"|"CERTIFICATION, TRAINING, MENTORSHIP PROGRAM"|"4952.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"10471"|"1349328"|"EUROPE (INCLUDING ICELAND & GREENLAND)"|"0"|"0"|"PROGRAM SERVICE"|"TRAINING, CERTIFICATION"|"102028.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"10472"|"1349328"|"MIDDLE EAST AND NORTH AFRICA"|"0"|"0"|"PROGRAM SERVICE"|"TRAINING"|"990.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"10473"|"1349328"|"SOUTH AMERICA - ARGENTINA, BOLIVIA"|"0"|"0"|"PROGRAM SERVICE"|"TRAINING, CERTIFICATION"|"4.0000"
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"10474"|"1349328"|"CENTRAL AMERICA AND THE CARIBBEAN"|"0"|"0"|"PROGRAM SERVICE"|"TRAINING"|"202.0000"
"01-0532835"|"SAFE PASSAGE"|"11517"|"1356939"|"CENTRAL AMERICA"|"1"|"1"|"GRANTS TO support Camino Seguro in Guatemala"|""|"1014849.0000"
"01-0730325"|"THE MOUNT KENYA ACADEMY FOUNDATION, INC."|"11722"|"1358802"|"EAST AFRICA - MOUNT KENYA"|"1"|"30"|"PROGRAM SERVICES: THE FOUNDATION OPERATES A SCHOOL AND BOARDING HOUSE FACILITY IN KENYA FOR"|"DESCRIBED ON LINE 3(D)."|"1180127.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11972"|"1364312"|"Central America and the Caribbean"|"0"|"0"|"Program Services"|"Self Insurance"|"1177164.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11973"|"1364312"|"Central America and the Caribbean"|"0"|"0"|"Program Services"|"Recruiting"|"1351.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11974"|"1364312"|"Central America and the Caribbean"|"0"|"0"|"Investments"|""|"130000.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11975"|"1364312"|"East Asia and the Pacific"|"0"|"0"|"Program Services"|"Research Collaboration"|"386584.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11976"|"1364312"|"Europe (including Iceland and Greenland)"|"0"|"0"|"Program Services"|"Healthcare Services"|"2187.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11977"|"1364312"|"North America"|"0"|"0"|"Program Services"|"Helathcare Services"|"19790.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11978"|"1364312"|"North America"|"0"|"0"|"Program Services"|"Recruiting"|"688.0000"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"11979"|"1364312"|"North America"|"0"|"0"|"Program Services"|"Research Collaboration"|"57192.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"12111"|"1366916"|"Laos"|"1"|"2"|"Program Services"|"Counseling"|"7104.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"12112"|"1366916"|"France"|"1"|"2"|"Program Services"|"Counseling"|"15391.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"12113"|"1366916"|"Canada"|"1"|"2"|"Program Services"|"Counseling"|"15801.0000"
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"12114"|"1366916"|"Israel"|"1"|"2"|"Program Services"|"Counseling"|"13848.0000"
"01-0574950"|"THE AKSHAYA PATRA FOUNDATION (USA)"|"12655"|"1372755"|"South Asia"|""|""|"grants to NGOs"|"Food for indigent"|"2484438.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14088"|"1383881"|"Central America and the Caribbean"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"8703.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14089"|"1383881"|"East Asia and the Pacific"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"583.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14090"|"1383881"|"Europe (Including Iceland & Greenland)"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"1000.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14091"|"1383881"|"Middle East and North Africa"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"2490.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14092"|"1383881"|"North Amrinca"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"4700.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14093"|"1383881"|"South America"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"20000.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14094"|"1383881"|"Sub-Saharan Afnca"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"6166.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14095"|"1383881"|"South Asia"|"0"|"0"|"Grants to US organizations for recipients located in the region"|""|"173000.0000"
"01-0391479"|"Maine Community Foundation Inc"|"14096"|"1383881"|"Central America and the Caribbean"|"0"|"0"|"Investments"|""|"25860861.0000"
"01-0518193"|"ENVIRONMENT NORTHEAST"|"14097"|"1383882"|"CANADA"|"1"|"1"|"PROGRAM SERVICES"|"ENVIRONMENTAL RESEARCH"|"129610.0000"
"01-0885377"|"America Gives Back Inc"|"14098"|"1383883"|"Sub - Saharan Africa"|"0"|"0"|"Program Services"|"Grant Evaluation"|"9722.0000"
"01-0885377"|"America Gives Back Inc"|"14099"|"1383883"|"Sub - Saharan Africa"|"0"|"0"|"Grant within the region"|""|"605000.0000"
"01-0885377"|"America Gives Back Inc"|"14100"|"1383883"|"Europe"|"0"|"0"|"Program Services"|"Grant Evaluation"|"5613.0000"
"01-0885377"|"America Gives Back Inc"|"14101"|"1383883"|"Europe"|"0"|"0"|"Grant within the region"|""|"83314.0000"
"01-0545281"|"Greenwood"|"14744"|"1384293"|"South and Central America"|""|""|"Program services"|"Production of high-value wood products"|"395713.0000"
"01-0390443"|"Davis Family Foundation"|"14844"|"1384451"|"Central America and the Caribbean"|"0"|"0"|"Investments"|""|"13645293.0000"
"01-0808098"|"INDEPENDENT WORLD TELEVISION INC"|"15045"|"1389009"|"North America"|""|""|"GRANTMAKING"|""|"744838.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"15212"|"1389872"|"Europe (Including Iceland and Greenland)"|""|"1"|"Program Services"|"RESEARCH"|"105773.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"15213"|"1389872"|"Central America and the Caribbean"|""|""|"Investments"|""|"19148490.0000"
"01-0211513"|"THE JACKSON LABORATORY"|"15214"|"1389872"|"East Asia and the Pacific"|""|""|"Program Services"|"EDUCATION"|"30295.0000"
"01-0581980"|"GEDE FOUNDATION"|"15215"|"1389887"|"SUB-SAHARAN AFRICA"|"6"|"37"|"PROGRAM SERVICES, FUNDRAISING, GRANTS TO RECIPIENTS"|"TREATMENT AND CARE FOR PEOPLE LIVING WITH HIV/AIDS, MALARIA AND TB, EDUCATION AND TRAINING"|"906004.0000"
"01-0593565"|"THE ONE CAMPAIGN"|"16648"|"1413929"|"Europe"|"4"|"46"|"PROGRAM SERVICES"|"Our efforts in Europe included the continuation of ONE's Thrive campaign, in three languages."|"6357697.0000"
"01-0593565"|"THE ONE CAMPAIGN"|"16649"|"1413929"|"Sub-Saharan Afnca"|"2"|"7"|"PROGRAM SERVICES"|"The ONE Campaign maintained its Africa office in Johannesburg, South Africa from where it built"|"1577395.0000"
"01-0599150"|"REACHING U A FOUNDATION FOR URUGUAY"|"16650"|"1413931"|"SOUTH AMERICA - ARGENTINA, BOLIVIA"|""|""|"GRANTS TO CHARITABLE ORGANIZATIONS LOCATED IN URUGUAY"|""|"357553.0000"
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"16651"|"1413937"|"GUATEMALA"|"0"|"1"|"PROGRAM SERVICE"|"TRAIN AND SUPPORT MINISTERS AND MISSIONARIES ASSIST SUPPORTING AND BUILDING ORPHANAGES"|"685011.0000"
"01-0963657"|"NATIONAL MEDICAL FELLOWSHIPS, INC."|"16652"|"1413940"|"SUB-SAHARAN AFRICA"|""|""|"PROGRAM SERVICES"|"INTERNATIONAL PROGRAM"|"178566.0000"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"17829"|"1420360"|"Central America and the Caribbean"|"0"|"0"|"Program Services"|"FINANCIALVEHICLE"|"15106650.0000"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"17830"|"1420360"|"Central America and the Caribbean"|""|""|"Investments"|""|"4646000.0000"
"01-0896501"|"US CENTRAL ASIA EDUCATION FOUNDATION"|"17916"|"1421038"|"RUSSIA ANDTHE NEWLY INDEPENDENT STATES"|"0"|"0"|"GRANTMAKING FOR THE BENEFIT OF INDIVIDUAL (STUDENTS AND FACULTY) IN THE REGION, DIRECTLY"|"THEUS-CENTRAL ASIA EDUCATION FOUNDATION PROVIDES THREE PROGRAMS IN THE REGION"|"1444787.0000"
"01-0531683"|"RESOURCES FIRST FOUNDATION"|"18014"|"1422136"|"SUB-SAHARAN AFRICA"|"0"|"0"|"GRANTS TO RECIPIENTS LOCATED IN THE REGION"|""|"164467.0000"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"18015"|"1422137"|"CENTRAL AMERICA AND THE CARIBBEAN-"|""|""|"GRANTS TO RECIPIENTS"|""|"18550.0000"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"18016"|"1422137"|"SUB-SAHARAN AFRICA - ANGOLA"|""|""|"GRANTS TO RECIPIENTS"|""|"112063.0000"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"18017"|"1422137"|"SOUTH ASIA - AFGHANISTAN, BANGLADESH"|""|""|"GRANTSTO RECIPIENTS"|""|"21868.0000"
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"18018"|"1422137"|"NORTH AMERICA - CANADA AND MEXICO, BUT"|""|""|"GRANTS TO RECIPIENTS"|""|"62844.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18583"|"1428062"|"Europe (including Iceland and Greenland)"|"0"|"2"|"Program Services"|"Fall Semester A broad Program"|"269277.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18584"|"1428062"|"Europe (including Iceland and Greenland)"|"0"|"5"|"Program Services"|"5-week short term educational program"|"179792.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18585"|"1428062"|"Sub-Saharan Africa"|"0"|"1"|"Program Services"|"5-week short term educational program"|"47422.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18586"|"1428062"|"Europe (including Iceland and Greenland)"|"0"|"5"|"Program Services"|"Federally sponsored research award"|"34468.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18587"|"1428062"|"Europe (including Iceland and Greenland)"|"0"|"39"|"Program Services"|"Faculty and staff professional development and research, study abroad visits and Debate Team"|"93182.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18588"|"1428062"|"East Asia and the Pacific"|"0"|"8"|"Program Services"|"Faculty and staff professional development and research, and student recruitment"|"59545.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18589"|"1428062"|"North America (including Canada and Mexico, but not the United States)"|"0"|"22"|"Program Services"|"Faculty and staff professional development, research and student club travel"|"23285.0000"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"18590"|"1428062"|"Russia and the newly independent States"|"0"|"3"|"Program Services"|"Faculty and staff professional development, research and related travel"|"16703.0000"
